S_Wave_X;S_Wave_Y;S_Surge_X;S_Surge_Y;S_Sway_X;S_Sway_Y;S_Heave_X;S_Heave_Y;S_Roll_X;S_Roll_Y;S_Pitch_X;S_Pitch_Y;S_Yaw_X;S_Yaw_Y;S_Added_Res_X;S_Added_Res_Y;S_Wave_WF_X;S_Wave_WF_Y
1,558667;0,082059;1,558667;0,000000;1,558667;0,000000;1,558667;0,000046;1,558667;0,030609;1,558667;0,000226;1,558667;0,000000;1,558667;53,163727;1,047619;0,525986
1,589333;0,074625;1,589333;0,000000;1,589333;0,000000;1,589333;0,000083;1,589333;0,027742;1,589333;0,000161;1,589333;0,000000;1,589333;49,286173;1,066667;0,486096
1,620000;0,067973;1,620000;0,000000;1,620000;0,000000;1,620000;0,000047;1,620000;0,025257;1,620000;0,000054;1,620000;0,000000;1,620000;45,486887;1,085714;0,449511
1,650667;0,062012;1,650667;0,000000;1,650667;0,000000;1,650667;0,000021;1,650667;0,022989;1,650667;0,000024;1,650667;0,000000;1,650667;41,954517;1,104762;0,415960
1,681333;0,056660;1,681333;0,000000;1,681333;0,000000;1,681333;0,000027;1,681333;0,020897;1,681333;0,000084;1,681333;0,000000;1,681333;38,735156;1,123810;0,385199
1,712000;0,051846;1,712000;0,000000;1,712000;0,000000;1,712000;0,000003;1,712000;0,019117;1,712000;0,000016;1,712000;0,000000;1,712000;35,731374;1,142857;0,356991
1,742667;0,047520;1,742667;0,000000;1,742667;0,000000;1,742667;0,000006;1,742667;0,017454;1,742667;0,000047;1,742667;0,000000;1,742667;33,008838;1,161905;0,331085
1,773333;0,043616;1,773333;0,000000;1,773333;0,000000;1,773333;0,000005;1,773333;0,015986;1,773333;0,000040;1,773333;0,000000;1,773333;30,446249;1,180952;0,307256
1,804000;0,040087;1,804000;0,000000;1,804000;0,000000;1,804000;0,000005;1,804000;0,014671;1,804000;0,000011;1,804000;0,000000;1,804000;28,060605;1,200000;0,285425
1,834667;0,036891;1,834667;0,000000;1,834667;0,000000;1,834667;0,000014;1,834667;0,013449;1,834667;0,000033;1,834667;0,000000;1,834667;25,870027;1,219048;0,265319
1,865333;0,033994;1,865333;0,000000;1,865333;0,000000;1,865333;0,000003;1,865333;0,012388;1,865333;0,000007;1,865333;0,000000;1,865333;23,742840;1,238095;0,246825
1,896000;0,031363;1,896000;0,000000;1,896000;0,000000;1,896000;0,000005;1,896000;0,011397;1,896000;0,000012;1,896000;0,000000;1,896000;21,801839;1,257143;0,229820
1,926667;0,028971;1,926667;0,000000;1,926667;0,000000;1,926667;0,000005;1,926667;0,010508;1,926667;0,000012;1,926667;0,000000;1,926667;20,115059;1,276190;0,214129
1,957333;0,026793;1,957333;0,000000;1,957333;0,000000;1,957333;0,000000;1,957333;0,009710;1,957333;0,000003;1,957333;0,000000;1,957333;18,646093;1,295238;0,199748
1,988000;0,024808;1,988000;0,000000;1,988000;0,000000;1,988000;0,000006;1,988000;0,008955;1,988000;0,000028;1,988000;0,000000;1,988000;17,304158;1,314286;0,186414
2,018667;0,022998;2,018667;0,000000;2,018667;0,000000;2,018667;0,000000;2,018667;0,008306;2,018667;0,000003;2,018667;0,000000;2,018667;15,934165;1,333333;0,174051
2,049333;0,021343;2,049333;0,000000;2,049333;0,000000;2,049333;0,000002;2,049333;0,007692;2,049333;0,000006;2,049333;0,000000;2,049333;14,684274;1,352381;0,162729
2,080000;0,019829;2,080000;0,000000;2,080000;0,000000;2,080000;0,000002;2,080000;0,007133;2,080000;0,000010;2,080000;0,000000;2,080000;13,565644;1,371429;0,152227
2,110667;0,018441;2,110667;0,000000;2,110667;0,000000;2,110667;0,000000;2,110667;0,006631;2,110667;0,000001;2,110667;0,000000;2,110667;12,568768;1,390476;0,142469
2,141333;0,017167;2,141333;0,000000;2,141333;0,000000;2,141333;0,000003;2,141333;0,006156;2,141333;0,000012;2,141333;0,000000;2,141333;11,657544;1,409524;0,133480
2,172000;0,015997;2,172000;0,000000;2,172000;0,000000;2,172000;0,000000;2,172000;0,005736;2,172000;0,000002;2,172000;0,000000;2,172000;10,833305;1,428571;0,125152
2,202667;0,014921;2,202667;0,000000;2,202667;0,000000;2,202667;0,000001;2,202667;0,005342;2,202667;0,000004;2,202667;0,000000;2,202667;10,078991;1,447619;0,117396
2,233333;0,013930;2,233333;0,000000;2,233333;0,000000;2,233333;0,000002;2,233333;0,004978;2,233333;0,000009;2,233333;0,000000;2,233333;9,341338;1,466667;0,110213
2,264000;0,013016;2,264000;0,000000;2,264000;0,000000;2,264000;0,000000;2,264000;0,004651;2,264000;0,000000;2,264000;0,000000;2,264000;8,593690;1,485714;0,103562
2,294667;0,012174;2,294667;0,000000;2,294667;0,000000;2,294667;0,000003;2,294667;0,004340;2,294667;0,000007;2,294667;0,000000;2,294667;7,912158;1,504762;0,097356
2,325333;0,011397;2,325333;0,000000;2,325333;0,000000;2,325333;0,000000;2,325333;0,004063;2,325333;0,000002;2,325333;0,000000;2,325333;7,344140;1,523810;0,091577
2,356000;0,010678;2,356000;0,000000;2,356000;0,000000;2,356000;0,000001;2,356000;0,003802;2,356000;0,000002;2,356000;0,000000;2,356000;6,834352;1,542857;0,086231
2,386667;0,010013;2,386667;0,000000;2,386667;0,000000;2,386667;0,000002;2,386667;0,003559;2,386667;0,000007;2,386667;0,000000;2,386667;6,325927;1,561905;0,081231
2,417333;0,009396;2,417333;0,000000;2,417333;0,000000;2,417333;0,000000;2,417333;0,003341;2,417333;0,000000;2,417333;0,000000;2,417333;5,768102;1,580952;0,076552
2,448000;0,008825;2,448000;0,000000;2,448000;0,000000;2,448000;0,000002;2,448000;0,003131;2,448000;0,000004;2,448000;0,000000;2,448000;5,258999;1,600000;0,072225
2,478667;0,008294;2,478667;0,000000;2,478667;0,000000;2,478667;0,000001;2,478667;0,002943;2,478667;0,000001;2,478667;0,000000;2,478667;4,895351;1,677778;0,057259
2,509333;0,007801;2,509333;0,000000;2,509333;0,000000;2,509333;0,000000;2,509333;0,002766;2,509333;0,000002;2,509333;0,000000;2,509333;4,591475;1,755556;0,045825
2,540000;0,007343;2,540000;0,000000;2,540000;0,000000;2,540000;0,000002;2,540000;0,002599;2,540000;0,000005;2,540000;0,000000;2,540000;4,279003;1,833333;0,037023
2,570667;0,006917;2,570667;0,000000;2,570667;0,000000;2,570667;0,000000;2,570667;0,002449;2,570667;0,000000;2,570667;0,000000;2,570667;3,897882;1,911111;0,030157
